,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
386,Vestmannaeyjar,63.4427,-20.2734,35.26,60,100,28.05,1644184101
387,Guerrero Negro,27.9769,-114.0611,68.85,22,0,9.95,1644184101
388,Kot Samaba,28.5522,70.4684,57.34,41,30,10.25,1644184101
389,Viedma,-40.8135,-62.9967,69.55,52,2,15.48,1644184102
390,Prince Rupert,54.3161,-130.3201,48.29,71,40,23.02,1644183938
391,Kavieng,-2.5744,150.7967,82.36,74,61,2.39,1644184102
392,Yaguajay,22.3272,-79.2378,78.04,60,47,17.09,1644184102
393,Ojinaga,29.5667,-104.4167,67.57,23,0,12.66,1644184103
394,Umm Kaddadah,13.6017,26.6876,57.99,22,100,15.7,1644184103
395,Nelson Bay,-32.7167,152.15,72.0,68,72,3.0,1644184103
396,Chapais,49.7834,-74.8492,6.58,94,100,8.59,1644184065
397,Anlu,31.1661,112.5831,31.14,96,100,12.62,1644184104
398,Sorong,-0.8833,131.25,79.43,83,99,10.56,1644184104
399,Beringovskiy,63.05,179.3167,-17.41,97,37,6.55,1644184104
400,Aksu,41.1231,80.2644,20.97,50,100,1.54,1644184165
401,Port-Cartier,50.0334,-66.8654,5.76,92,100,4.97,1644183884
402,Angoche,-16.2325,39.9086,75.22,93,82,8.9,1644184165
403,Vicuña,-30.0319,-70.7081,87.76,34,0,7.45,1644184165
404,Batemans Bay,-35.7167,150.1833,65.19,84,55,10.25,1644184166
405,Gigmoto,13.7796,124.39,77.16,86,95,13.73,1644184166
406,Peniche,39.3558,-9.3811,55.09,73,30,13.06,1644184166
407,Novoagansk,61.9449,76.6625,-7.37,99,11,6.53,1644184167
408,San Luis,-33.295,-66.3356,77.4,17,0,9.57,1644184167
409,Kurumkan,54.3,110.3,-4.05,96,56,3.91,1644184167
410,Taoudenni,22.6783,-3.9836,69.98,12,18,10.63,1644184168
411,Lamar,33.6668,-95.5836,55.63,28,0,3.44,1644184168
412,Kwang Binh,17.4833,106.6,66.31,90,97,3.76,1644184168
413,Finote Selam,10.7,37.2667,59.95,65,6,2.77,1644184168
414,Pāonta Sāhib,30.45,77.6167,53.22,70,55,3.87,1644184169
415,Morondava,-20.2833,44.2833,80.64,84,100,22.64,1644184169
